ء	0621.txt.gz	1	40
ؤ	0624.txt.gz	1	40
ئ	0626.txt.gz	1	40
ا	0627.txt.gz	3	48
اؤ	0627_0624.txt.gz	1880	4686
ائ	0627_0626.txt.gz	2113	5265
اا	0627_0627.txt.gz	36526	88985
اب	0627_0628.txt.gz	14417	36333
ات	0627_062a.txt.gz	69069	175500
اث	0627_062b.txt.gz	3887	9602
اج	0627_062c.txt.gz	14386	36009
اح	0627_062d.txt.gz	19969	49508
اخ	0627_062e.txt.gz	16564	41306
اد	0627_062f.txt.gz	12906	32102
اذ	0627_0630.txt.gz	4968	12157
ار	0627_0631.txt.gz	24579	61392
از	0627_0632.txt.gz	9178	22818
اس	0627_0633.txt.gz	133521	344975
اش	0627_0634.txt.gz	14875	36855
اص	0627_0635.txt.gz	10339	25584
اض	0627_0636.txt.gz	6163	15228
اط	0627_0637.txt.gz	7452	18559
اظ	0627_0638.txt.gz	1599	3868
اع	0627_0639.txt.gz	21214	52483
اغ	0627_063a.txt.gz	10154	25172
اف	0627_0641.txt.gz	358326	932046
اق	0627_0642.txt.gz	18730	46061
اك	0627_0643.txt.gz	14186	35423
ال	0627_0644.txt.gz	92714	244837
ام	0627_0645.txt.gz	16284	40273
ان	0627_0646.txt.gz	59549	149885
اه	0627_0647.txt.gz	10679	26363
او	0627_0648.txt.gz	356659	925280
اي	0627_064a.txt.gz	39461	93341
ب	0628.txt.gz	1	40
بؤ	0628_0624.txt.gz	140	405
بئ	0628_0626.txt.gz	59	210
با	0628_0627.txt.gz	5189	14017
بب	0628_0628.txt.gz	183	737
بت	0628_062a.txt.gz	424	1252
بث	0628_062b.txt.gz	228	623
بج	0628_062c.txt.gz	469	1308
بح	0628_062d.txt.gz	429	1149
بخ	0628_062e.txt.gz	424	1171
بد	0628_062f.txt.gz	991	2564
بذ	0628_0630.txt.gz	475	1194
بر	0628_0631.txt.gz	3545	9325
بز	0628_0632.txt.gz	719	1851
بس	0628_0633.txt.gz	875	2403
بش	0628_0634.txt.gz	420	1225
بص	0628_0635.txt.gz	402	1095
بض	0628_0636.txt.gz	262	704
بط	0628_0637.txt.gz	1059	2709
بظ	0628_0638.txt.gz	42	181
بع	0628_0639.txt.gz	766	2084
بغ	0628_063a.txt.gz	643	1665
بف	0628_0641.txt.gz	93	456
بق	0628_0642.txt.gz	611	1585
بك	0628_0643.txt.gz	412	1259
بل	0628_0644.txt.gz	2034	5201
بم	0628_0645.txt.gz	190	815
بن	0628_0646.txt.gz	1039	2895
به	0628_0647.txt.gz	1045	2666
بو	0628_0648.txt.gz	2302	6075
بي	0628_064a.txt.gz	1146	3106
بک	0628_06a9.txt.gz	1	56
ة	0629.txt.gz	1	40
ت	062a.txt.gz	1	40
تؤ	062a_0624.txt.gz	4741	11455
تئ	062a_0626.txt.gz	477	1109
تا	062a_0627.txt.gz	7006	17271
تب	062a_0628.txt.gz	14100	34077
تت	062a_062a.txt.gz	44253	108024
تث	062a_062b.txt.gz	3107	7530
تج	062a_062c.txt.gz	14873	36147
تح	062a_062d.txt.gz	20675	49987
تخ	062a_062e.txt.gz	15768	38391
تد	062a_062f.txt.gz	14051	33967
تذ	062a_0630.txt.gz	4952	11678
تر	062a_0631.txt.gz	23363	56764
تز	062a_0632.txt.gz	9761	23440
تس	062a_0633.txt.gz	37164	89032
تش	062a_0634.txt.gz	16155	39320
تص	062a_0635.txt.gz	11345	27548
تض	062a_0636.txt.gz	6338	15118
تط	062a_0637.txt.gz	8063	19438
تظ	062a_0638.txt.gz	1405	3321
تع	062a_0639.txt.gz	22195	53523
تغ	062a_063a.txt.gz	9548	23044
تف	062a_0641.txt.gz	15451	37322
تق	062a_0642.txt.gz	20140	48211
تك	062a_0643.txt.gz	14043	34035
تل	062a_0644.txt.gz	16157	38778
تم	062a_0645.txt.gz	16762	40366
تن	062a_0646.txt.gz	34437	83351
ته	062a_0647.txt.gz	12318	29584
تو	062a_0648.txt.gz	18109	44147
تي	062a_064a.txt.gz	2066	5005
ث	062b.txt.gz	1	40
ثؤ	062b_0624.txt.gz	17	114
ثئ	062b_0626.txt.gz	29	122
ثا	062b_0627.txt.gz	496	1317
ثب	062b_0628.txt.gz	395	974
ثج	062b_062c.txt.gz	32	143
ثخ	062b_062e.txt.gz	42	182
ثد	062b_062f.txt.gz	60	219
ثر	062b_0631.txt.gz	558	1357
ثع	062b_0639.txt.gz	48	200
ثغ	062b_063a.txt.gz	60	221
ثف	062b_0641.txt.gz	71	226
ثق	062b_0642.txt.gz	480	1172
ثك	062b_0643.txt.gz	129	365
ثل	062b_0644.txt.gz	654	1557
ثم	062b_0645.txt.gz	531	1299
ثن	062b_0646.txt.gz	187	496
ثو	062b_0648.txt.gz	466	1154
ثي	062b_064a.txt.gz	48	185
ج	062c.txt.gz	1	40
جؤ	062c_0624.txt.gz	24	136
جئ	062c_0626.txt.gz	80	247
جا	062c_0627.txt.gz	4160	10312
جب	062c_0628.txt.gz	973	2347
جث	062c_062b.txt.gz	249	615
جح	062c_062d.txt.gz	303	804
جد	062c_062f.txt.gz	1035	2493
جذ	062c_0630.txt.gz	839	2013
جر	062c_0631.txt.gz	2362	5763
جز	062c_0632.txt.gz	1219	2988
جس	062c_0633.txt.gz	620	1484
جش	062c_0634.txt.gz	277	727
جص	062c_0635.txt.gz	155	418
جع	062c_0639.txt.gz	470	1164
جغ	062c_063a.txt.gz	15	108
جف	062c_0641.txt.gz	672	1644
جل	062c_0644.txt.gz	1397	3390
جم	062c_0645.txt.gz	1448	3568
جن	062c_0646.txt.gz	1235	2927
جه	062c_0647.txt.gz	835	2050
جو	062c_0648.txt.gz	1878	4653
جي	062c_064a.txt.gz	764	1988
ح	062d.txt.gz	1	40
حؤ	062d_0624.txt.gz	7	76
حا	062d_0627.txt.gz	5079	12491
حب	062d_0628.txt.gz	1376	3332
حت	062d_062a.txt.gz	251	631
حث	062d_062b.txt.gz	321	791
حج	062d_062c.txt.gz	910	2170
حد	062d_062f.txt.gz	1333	3244
حذ	062d_0630.txt.gz	716	1769
حر	062d_0631.txt.gz	2422	5914
حز	062d_0632.txt.gz	800	1922
حس	062d_0633.txt.gz	1442	3463
حش	062d_0634.txt.gz	1043	2540
حص	062d_0635.txt.gz	1435	3420
حض	062d_0636.txt.gz	512	1280
حط	062d_0637.txt.gz	526	1274
حظ	062d_0638.txt.gz	199	541
حف	062d_0641.txt.gz	1257	3080
حق	062d_0642.txt.gz	811	1968
حك	062d_0643.txt.gz	496	1189
حل	062d_0644.txt.gz	1680	4102
حم	062d_0645.txt.gz	1674	4114
حن	062d_0646.txt.gz	1276	3129
حه	062d_0647.txt.gz	5	62
حو	062d_0648.txt.gz	1955	4861
حي	062d_064a.txt.gz	1121	2749
خ	062e.txt.gz	1	40
خؤ	062e_0624.txt.gz	9	90
خا	062e_0627.txt.gz	3871	9356
خب	062e_0628.txt.gz	996	2458
خت	062e_062a.txt.gz	545	1308
خث	062e_062b.txt.gz	131	374
خج	062e_062c.txt.gz	155	434
خد	062e_062f.txt.gz	917	2177
خذ	062e_0630.txt.gz	406	987
خر	062e_0631.txt.gz	2337	5782
خز	062e_0632.txt.gz	961	2372
خس	062e_0633.txt.gz	656	1609
خش	062e_0634.txt.gz	1037	2455
خص	062e_0635.txt.gz	1106	2692
خض	062e_0636.txt.gz	695	1651
خط	062e_0637.txt.gz	1244	3017
خف	062e_0641.txt.gz	1010	2440
خل	062e_0644.txt.gz	1928	4730
خم	062e_0645.txt.gz	1082	2643
خن	062e_0646.txt.gz	972	2436
خه	062e_0647.txt.gz	5	62
خو	062e_0648.txt.gz	1576	3872
خي	062e_064a.txt.gz	891	2183
د	062f.txt.gz	1	40
دؤ	062f_0624.txt.gz	30	143
دئ	062f_0626.txt.gz	46	160
دا	062f_0627.txt.gz	4838	11698
دب	062f_0628.txt.gz	1318	3222
دث	062f_062b.txt.gz	142	399
دج	062f_062c.txt.gz	762	1829
دح	062f_062d.txt.gz	777	1936
دخ	062f_062e.txt.gz	425	1067
دد	062f_062f.txt.gz	8	72
در	062f_0631.txt.gz	1754	4323
دس	062f_0633.txt.gz	755	1803
دش	062f_0634.txt.gz	202	504
دص	062f_0635.txt.gz	8	72
دع	062f_0639.txt.gz	1223	2981
دغ	062f_063a.txt.gz	375	949
دف	062f_0641.txt.gz	1046	2575
دق	062f_0642.txt.gz	325	780
دك	062f_0643.txt.gz	469	1168
دل	062f_0644.txt.gz	1266	3146
دم	062f_0645.txt.gz	1640	3997
دن	062f_0646.txt.gz	649	1582
ده	062f_0647.txt.gz	1338	3225
دو	062f_0648.txt.gz	1850	4620
دي	062f_064a.txt.gz	980	2578
ذ	0630.txt.gz	1	40
ذؤ	0630_0624.txt.gz	50	202
ذئ	0630_0626.txt.gz	68	223
ذا	0630_0627.txt.gz	1247	3077
ذب	0630_0628.txt.gz	802	1929
ذح	0630_062d.txt.gz	109	299
ذخ	0630_062e.txt.gz	112	329
ذد	0630_062f.txt.gz	66	211
ذر	0630_0631.txt.gz	1231	2965
ذع	0630_0639.txt.gz	364	926
ذف	0630_0641.txt.gz	191	516
ذق	0630_0642.txt.gz	146	406
ذك	0630_0643.txt.gz	452	1091
ذل	0630_0644.txt.gz	363	932
ذم	0630_0645.txt.gz	488	1150
ذن	0630_0646.txt.gz	171	476
ذه	0630_0647.txt.gz	392	969
ذو	0630_0648.txt.gz	461	1145
ذي	0630_064a.txt.gz	246	635
ر	0631.txt.gz	1	40
رؤ	0631_0624.txt.gz	180	503
رئ	0631_0626.txt.gz	270	684
را	0631_0627.txt.gz	6244	15527
رب	0631_0628.txt.gz	2099	5138
رت	0631_062a.txt.gz	697	1676
رث	0631_062b.txt.gz	420	1046
رج	0631_062c.txt.gz	1586	3814
رح	0631_062d.txt.gz	714	1728
رخ	0631_062e.txt.gz	584	1446
رد	0631_062f.txt.gz	893	2164
رذ	0631_0630.txt.gz	191	527
رز	0631_0632.txt.gz	851	2068
رس	0631_0633.txt.gz	863	2117
رش	0631_0634.txt.gz	1077	2629
رص	0631_0635.txt.gz	789	1905
رض	0631_0636.txt.gz	937	2226
رط	0631_0637.txt.gz	485	1170
رع	0631_0639.txt.gz	1101	2641
رغ	0631_063a.txt.gz	827	2003
رف	0631_0641.txt.gz	1624	3973
رق	0631_0642.txt.gz	1603	3872
رك	0631_0643.txt.gz	1146	2756
رل	0631_0644.txt.gz	1	50
رم	0631_0645.txt.gz	1361	3321
رن	0631_0646.txt.gz	617	1479
ره	0631_0647.txt.gz	920	2248
رو	0631_0648.txt.gz	2286	5710
ري	0631_064a.txt.gz	940	2347
ز	0632.txt.gz	1	40
زؤ	0632_0624.txt.gz	55	209
زئ	0632_0626.txt.gz	51	191
زا	0632_0627.txt.gz	2191	5372
زب	0632_0628.txt.gz	1006	2423
زج	0632_062c.txt.gz	619	1486
زح	0632_062d.txt.gz	857	2075
زخ	0632_062e.txt.gz	288	750
زد	0632_062f.txt.gz	74	230
زر	0632_0631.txt.gz	1264	3062
زع	0632_0639.txt.gz	1108	2730
زغ	0632_063a.txt.gz	234	655
زف	0632_0641.txt.gz	481	1170
زق	0632_0642.txt.gz	615	1507
زك	0632_0643.txt.gz	352	856
زل	0632_0644.txt.gz	1150	2822
زم	0632_0645.txt.gz	1239	3048
زن	0632_0646.txt.gz	841	2090
زه	0632_0647.txt.gz	583	1398
زو	0632_0648.txt.gz	1017	2517
زي	0632_064a.txt.gz	1404	3321
س	0633.txt.gz	1	40
سؤ	0633_0624.txt.gz	156	440
سئ	0633_0626.txt.gz	180	469
سا	0633_0627.txt.gz	13780	36165
سب	0633_0628.txt.gz	1698	4157
ست	0633_062a.txt.gz	34118	83396
سج	0633_062c.txt.gz	912	2219
سح	0633_062d.txt.gz	983	2356
سخ	0633_062e.txt.gz	723	1755
سد	0633_062f.txt.gz	966	2298
سذ	0633_0630.txt.gz	41	172
سر	0633_0631.txt.gz	2059	5016
سز	0633_0632.txt.gz	2	60
سس	0633_0633.txt.gz	66	210
سط	0633_0637.txt.gz	667	1632
سع	0633_0639.txt.gz	651	1599
سغ	0633_063a.txt.gz	112	325
سف	0633_0641.txt.gz	1660	4007
سق	0633_0642.txt.gz	697	1703
سك	0633_0643.txt.gz	1031	2504
سل	0633_0644.txt.gz	2190	5289
سم	0633_0645.txt.gz	2177	5305
سن	0633_0646.txt.gz	8710	22839
سه	0633_0647.txt.gz	695	1690
سو	0633_0648.txt.gz	2558	6387
سي	0633_064a.txt.gz	29285	71397
ش	0634.txt.gz	1	40
شؤ	0634_0624.txt.gz	118	339
شئ	0634_0626.txt.gz	29	128
شا	0634_0627.txt.gz	5590	13576
شب	0634_0628.txt.gz	1103	2698
شت	0634_062a.txt.gz	510	1222
