a	0061.txt.gz	7371	127165
b	0062.txt.gz	5166	83805
c	0063.txt.gz	9278	160902
d	0064.txt.gz	6553	115914
e	0065.txt.gz	6541	115922
f	0066.txt.gz	3833	62941
g	0067.txt.gz	3243	52652
h	0068.txt.gz	2626	42792
i	0069.txt.gz	3440	63187
j	006a.txt.gz	1343	20879
k	006b.txt.gz	1619	24511
l	006c.txt.gz	3059	48716
m	006d.txt.gz	6096	101326
n	006e.txt.gz	1920	30938
o	006f.txt.gz	1833	29672
p	0070.txt.gz	7651	132508
q	0071.txt.gz	414	6979
r	0072.txt.gz	7416	130918
s	0073.txt.gz	7742	130039
t	0074.txt.gz	4833	80451
u	0075.txt.gz	473	7356
v	0076.txt.gz	2302	37576
w	0077.txt.gz	981	15214
x	0078.txt.gz	80	1137
y	0079.txt.gz	483	7105
z	007a.txt.gz	407	5966
